NULL,DT,NN,Pa,Pr
DT,DT,:,Pa,Pr
DT,DT,",",Pa,Pr
DT,DT,.,Pa,Pr
DT,DT,NN,Pr,Pr
DT,DT,NNP,Pa,Pr
DT,DT,JJ,Pa,Pr
DT,DT,VBD,Pa,Pa
DT,DT,VBG,Pa,Pr
DT,DT,VBZ,Pa,Pr
DT,DT,IN,Pa,Pr
DT,DT,DT,Pa,Pr
NNP,DT,NN,Pr,Pr
NNS,DT,NN,Pr,Pr
NN,DT,JJ,Pr,Pr
NN,DT,NN,Pr,Pr
NN,DT,RB,Pr,Pr
NN,DT,VBD,Pa,Pa
TO,DT,NN,Pa,Pr
TO,DT,NNS,Pa,Pr
TO,DT,VBD,Pa,Pa
TO,DT,VBZ,Pa,Pr
TO,DT,JJ,Pa,Pr
TO,DT,JJS,Pa,Pr
TO,DT,",",Pa,Pr
TO,DT,.,Pa,Pr
TO,DT,:,Pa,Pr
TO,DT,IN,Pa,Pr
TO,DT,RB,Pa,Pr
TO,DT,MD,Pa,Ft
TO,DT,DT,Pa,Pr
TO,DT,IN,Pa,Pr
IN,DT,NN,Pa,Pr
IN,DT,NNS,Pa,Pr
IN,DT,NNP,Pr,Pr
IN,DT,JJ,Pa,Pr
IN,DT,JJR,Pa,Pr
IN,DT,IN,Pa,Pr
IN,DT,TO,Pa,Ft
IN,DT,DT,Pa,Pr
IN,DT,CC,Pa,Pr
IN,DT,CD,Pa,Pr
IN,DT,),Pa,Pr
IN,DT,",",Pa,Pr
IN,DT,.,Pa,Pr
IN,DT,:,Ft,Pr
IN,DT,QO,Ft,Pr
IN,DT,MD,Pa,Ft
IN,DT,RB,Pr,Pr
IN,DT,RBR,Pa,Pr
IN,DT,RBS,Pa,Pr
IN,DT,PRP,Pa,Pr
IN,DT,VBD,Pa,Pa
IN,DT,VBN,Pa,Pr
IN,DT,VBZ,Pa,Pr
IN,DT,VBP,Pa,Pr
.,DT,VBN,Pa,Pr
.,DT,VBD,Pa,Pa
.,DT,VBZ,Pa,Pr
.,DT,VBG,Pa,Pr
.,DT,JJ,Pa,Pr
.,DT,QO,Ft,Pr
.,DT,NN,Pa,Pr
.,DT,NNP,Pa,Pr
.,DT,MD,Pa,Ft
.,DT,RB,Pa,Pr
.,DT,RBS,Pa,Pr
.,DT,CD,Pa,Pr
.,DT,IN,Pa,Pr
.,DT,PRP,Pa,Pr
.,DT,DT,Pa,Pr
.,DT,",",Pa,Pr
",",DT,NN,Pa,Pr
",",DT,NNP,Pa,Pr
",",DT,JJ,Pa,Pr
",",DT,VBZ,Pa,Pr
",",DT,VBN,Pa,Pr
",",DT,VBD,Pa,Pa
",",DT,VBG,Pa,Pr
",",DT,RB,Pa,Pr
",",DT,RBS,Pa,Pr
",",DT,MD,Pa,Ft
",",DT,QO,Ft,Pr
(,DT,VBZ,Pa,Pr
(,DT,NN,Pa,Pr
(,DT,",",Pa,Pr
:,DT,VBD,Pa,Pr
:,DT,VBZ,Pa,Pr
:,DT,VBN,Pa,Pa
:,DT,VBG,Pa,Pr
:,DT,NN,Pa,Pr
:,DT,",",Pa,Pr
:,DT,MD,Pa,Ft
:,DT,IN,Pa,Pr
:,DT,JJ,Pa,Pr
QO,DT,NN,Pr,Pr
QO,DT,NNP,Pr,Pr
QO,DT,NNS,Pr,Pr
QO,DT,JJ,Pr,Pr
QO,DT,VBZ,Pr,Pr
QO,DT,MD,Pr,Ft
QO,DT,:,Ft,Pr
QO,DT,QO,Ft,Pr
QC,DT,NN,Pa,Pr
QC,DT,NNP,Pa,Pr
QC,DT,JJ,Pa,Pr
QC,DT,IN,Pa,Pr
QC,DT,VBD,Pa,Pr
QC,DT,VBZ,Pa,Pr
QC,DT,DT,Pa,Pr
QC,DT,",",Pa,Pr
WP,DT,VBZ,Pa,Pr
WP,DT,NN,Pa,Pr
WDT,DT,NN,Pa,Pr
WDT,DT,JJS,Pa,Pr
WDT,DT,MD,Pa,Ft
WDT,DT,QO,Ft,Pr
WRB,DT,NN,Pr,Pr
WRB,DT,JJ,Pa,Pr
WRB,DT,VBN,Pa,Pa
WRB,DT,VBZ,Pa,Pr
VBZ,DT,DT,Pa,Pr
VBZ,DT,IN,Pa,Pr
VBZ,DT,TO,Pa,Pr
VBZ,DT,NN,Pa,Pr
VBZ,DT,NNP,Pa,Pr
VBZ,DT,RB,Pr,Pr
VBZ,DT,RBR,Pa,Pr
VBZ,DT,JJ,Pa,Pr
VBZ,DT,CD,Pr,Pr
VBZ,DT,DT,Pa,Pr
VBZ,DT,:,Ft,Pr
VBZ,DT,",",Pa,Pr
VBZ,DT,.,Pa,Pr
VBZ,DT,VBN,Pa,Pr
VBZ,DT,QO,Ft,Pr
VBD,DT,NN,Pa,Pa
VBD,DT,NNP,Pr,Pr
VBD,DT,RB,Pa,Pa
VBD,DT,JJ,Pa,Pa
VBD,DT,",",Pa,Pa
VBD,DT,VBN,Pa,Pa
VBD,DT,TO,Ft,Pa
VBN,DT,NN,Pa,Pa
VBN,DT,JJ,Pa,Pa
VBN,DT,",",Pa,Pr
VBN,DT,MD,Pa,Ft
VBN,DT,IN,Pa,Pa
VBP,DT,RB,Pa,Pr
VBP,DT,NN,Pr,Pr
VBP,DT,JJ,Pr,Pr
VBP,DT,TO,Pr,Pr
VBG,DT,",",Pa,Pr
VBG,DT,CD,Pr,Pr
VBG,DT,NN,Pa,Pr
VBG,DT,JJ,Pr,Pr
VBG,DT,``,Ft,Pr
VB,DT,NN,Pa,Pr
VB,DT,NNP,Pa,Pr
VB,DT,.,Pa,Pr
VB,DT,",",Pa,Pr
VB,DT,:,Ft,Pr
VB,DT,),Pa,Pr
VB,DT,CD,Pr,Pr
VB,DT,JJ,Pr,Pr
VB,DT,RB,Pa,Pr
VB,DT,RBR,Pa,Pr
VB,DT,IN,Pa,Pr
VB,DT,TO,Pa,Ft
CC,DT,NN,Pa,Pr
CC,DT,JJ,Pa,Pr
CC,DT,VBZ,Pa,Pr
CC,DT,VBD,Pa,Pa
CC,DT,",",Pa,Pr
JJ,DT,JJ,Pa,Pr
